订单序,O_X,O_Y,D_X,D_Y,Ready Time,Due Date,Order_Revenue
1,20,85,66,55,41,238,84
2,60,80,0,45,37,624,120
3,95,30,25,50,65,425,106
4,42,5,5,45,151,716,82
5,2,40,44,5,58,347,83
6,20,82,5,45,37,716,60
7,60,85,30,52,85,965,78
8,92,30,28,52,62,883,100
9,38,15,42,68,148,782,80
10,10,35,42,10,91,257,71
11,18,75,48,40,76,376,81
12,60,85,20,55,85,504,87
13,92,30,25,30,62,786,98
14,42,15,25,55,122,701,68
15,8,40,15,80,59,345,63
16,20,82,55,80,37,820,55
17,60,85,22,75,30,115,74
18,90,35,60,85,67,622,100
19,35,5,63,58,154,802,92
20,8,45,40,69,64,702,70
21,22,85,33,35,16,139,78
22,60,85,30,32,85,509,100
23,88,35,30,35,61,1127,92
24,45,30,23,55,53,593,50
25,8,45,65,85,64,518,114
26,22,75,62,80,50,239,70
27,60,85,88,35,85,397,87
28,88,35,42,15,61,158,78
29,40,5,65,82,67,336,122
30,10,40,45,68,119,967,68
31,20,82,47,40,12,77,75
32,58,75,47,35,92,875,63
33,85,35,50,40,111,218,65
34,42,5,22,75,30,181,111
35,10,35,45,35,91,969,59
36,22,75,33,35,16,276,78
37,58,75,28,52,92,883,57
38,92,30,40,15,35,303,80
39,40,5,65,82,67,336,122
40,10,40,95,30,119,456,129
41,15,80,42,66,65,146,45
42,67,85,5,45,139,716,111
43,88,30,40,15,35,104,76
44,35,5,95,35,154,360,99
45,0,45,45,65,149,1068,82
46,56,37,2,40,34,434,81
47,67,85,33,35,16,169,91
48,90,35,18,75,67,555,132
49,38,5,20,50,65,405,76
50,50,35,65,82,130,336,75
